Match,Chintu ki paltan,Gujarati Dhoklas,Jp212,Kush ALL STARs,Lovish,Rasgulla Rippers,Smityboy Panthers,Vrunds11,The Royals 2025
1,,,,,,,,,
2,2,0,1,2,3,5,3,2,0
3,3,8,3,3,3,1,4,4,3
4,3,10,3,3,3,3,4,2,0
5,3,3,3,3,3,4,5,2,0
6,3,1,1,2,1,3,3,0,0
7,4,0,2,3,1,2,2,4,4
8,3,5,2,4,4,2,3,1,4
9,3,1,0,3,2,3,4,1,2
10,2,3,2,2,2,4,4,2,1
11,1,1,1,4,0,3,4,1,2
12,3,4,3,3,2,3,3,2,4
13,3,1,2,3,4,4,4,2,3
14,2,1,2,3,2,3,3,2,2
15,0,3,1,2,0,1,1,0,2
16,3,1,3,2,2,3,3,1,2
17,2,0,1,3,3,3,3,3,3
18,3,0,3,3,3,4,3,2,3
19,2,3,1,1,0,4,2,1,0
20,3,4,4,2,4,3,3,3,2
21,2,2,3,3,3,0,0,3,0
22,1,2,2,2,3,5,2,1,2
23,2,2,3,2,2,2,2,3,2
24,2,0,4,2,2,3,3,2,0
25,3,1,3,2,3,2,3,2,2
26,2,2,3,2,2,1,4,2,0
27,3,5,0,3,4,3,2,3,3
28,2,4,2,2,2,2,3,3,0
29,3,4,4,3,3,0,4,4,4
30,1,3,0,1,2,2,2,2,2
31,1,3,5,1,3,3,2,2,4
32,2,3,4,3,3,4,2,3,4
33,2,3,4,2,2,3,4,3,4
34,2,0,3,3,2,0,4,2,3
35,2,5,4,1,2,3,4,2,0
36,3,5,3,2,3,3,0,1,5
37,0,3,3,0,1,1,4,2,2
38,3,2,4,3,4,0,4,3,5
39,2,3,4,3,2,2,2,2,5
40,2,4,1,1,2,1,3,2,4
41,2,4,2,3,3,3,2,4,4
42,2,4,4,3,3,1,2,2,4
43,2,3,3,1,2,3,2,2,5
44,2,3,3,2,4,2,4,3,6
45,3,3,4,3,1,1,1,2,5
46,3,3,3,3,5,3,3,2,4
47,3,4,4,4,2,3,3,2,5
48,2,3,2,1,0,2,0,1,3
49,3,1,3,3,3,0,2,3,5
50,3,2,3,2,4,3,2,3,4
51,3,2,3,2,3,3,1,3,0
52,3,0,3,3,3,2,1,3,0
53,4,0,2,3,3,2,1,2,0
54,3,3,5,5,3,2,4,4,6
55,5,2,3,4,5,0,3,3,5
56,6,3,4,3,0,4,2,4,5
57,3,1,5,5,1,4,4,2,7
58,0,0,0,0,0,5,0,4,0
59,5,3,0,0,8,0,4,3,0
60,5,3,6,7,7,0,5,6,0
61,6,6,7,7,7,6,5,4,8
62,0,5,6,7,5,7,3,3,8
63,8,0,5,7,8,0,5,0,11
64,6,6,9,8,6,9,6,6,6
65,0,11,6,8,7,10,6,11,7
66,8,11,6,7,6,10,7,11,0
67,11,7,5,6,7,10,7,11,0
68,11,8,8,7,8,10,0,11,0
69,11,8,4,8,7,0,0,11,0
70,11,7,6,5,8,11,0,11,0
71,0,0,0,0,0,0,0,0,0
72,0,8,0,0,0,10,0,0,0
