Match,Chintu ki paltan,Gujarati Dhoklas,Jp212,Kush ALL STARs,Lovish,Rasgulla Rippers,Smityboy Panthers,Vrunds11,The Royals 2025
1,,,,,,,,,
2,2,0,1,2,3,5,3,2,0
3,3,8,3,3,3,1,4,4,3
4,3,10,3,3,3,3,4,2,0
5,3,3,3,3,3,4,5,2,0
6,3,1,1,2,1,3,3,0,0
7,4,0,2,3,1,2,2,4,4
8,3,5,2,4,4,2,3,1,4
9,3,1,0,3,2,3,4,1,2
10,2,3,2,2,2,4,4,2,1
11,1,1,1,4,0,3,4,1,2
12,3,4,3,3,2,3,3,2,4
13,3,1,2,3,4,4,4,2,3
14,2,1,2,3,2,3,3,2,2
15,0,3,1,2,0,1,1,0,2
16,3,1,3,2,2,3,3,1,2
17,2,0,1,3,3,3,3,3,3
18,3,0,3,3,3,4,3,2,3
19,2,3,1,1,0,4,2,1,0
20,3,4,4,2,4,3,3,3,2
21,2,2,3,3,3,0,0,3,0
22,1,2,2,2,3,5,2,1,2
23,2,2,3,2,2,2,2,3,2
24,2,0,4,2,2,3,3,2,0
25,3,1,3,2,3,2,3,2,2
26,2,2,3,2,2,1,4,2,0
27,3,5,0,3,4,3,2,3,3
28,2,4,2,2,2,2,3,3,0
29,3,4,4,3,3,0,4,4,4
30,1,3,0,1,2,2,2,2,2
31,1,3,5,1,3,3,2,2,4
32,2,3,4,3,3,4,2,3,4
33,2,3,4,2,2,3,4,3,4
34,2,0,3,3,2,0,4,2,3
35,2,5,4,1,2,3,4,2,0
36,3,5,3,2,3,3,0,1,5
37,0,3,3,0,1,1,4,2,2
38,3,2,4,3,4,0,4,3,5
39,2,3,4,3,2,2,2,2,5
40,2,4,1,1,2,1,3,2,4
41,2,4,2,3,3,3,2,4,4
42,2,4,4,3,3,1,2,2,4
43,2,3,3,1,2,3,2,2,5
44,2,3,3,2,4,2,4,3,6
45,3,3,4,3,1,1,1,2,5
46,3,3,3,3,5,3,3,2,4
47,3,4,4,4,2,3,3,2,5
48,2,3,2,1,0,2,0,1,3
49,3,1,3,3,3,0,2,3,5
50,3,2,3,2,4,3,2,3,4
